用户id,用户,评论日期,评论内容
2072886351,糊弄学博士后,Sun Jan 22 19:54:33 +0800 2023,“五十岁以上，出列！”那里看得真的感动到，因为我是真的相信，如果真有这样一个时刻，会有这样的事情发生，
1722674292,Chan-_-Chan,Sun Jan 22 19:53:51 +0800 2023,我在电影院哭成傻狗……
7371037159,夏至小铃铛,Sun Jan 22 19:59:15 +0800 2023,中国人的骨子里是真正有人类大同信仰的，是可以在关键时刻义无反顾选择自我牺牲，去无悔成就大局的……
7744619712,不為_,Sun Jan 22 19:52:19 +0800 2023,面壁人刘德华，我是你的破壁人moss[doge]
1766469192,奸若磐石硕,Sun Jan 22 20:14:00 +0800 2023,而且这个双腿机器人在巨浪来袭的时候瞬间冲到周老师身前开启防御模式的时候也帅的一批[开学季]
5634685861,Zebraqi,Sun Jan 22 20:29:00 +0800 2023,发现一个很有意思的一点，给流浪地球打1星的，基本都给阿凡达2打4-5星
7516438720,莫兰蒂的落,Sun Jan 22 19:51:46 +0800 2023,用普通人的故事续写宏大叙事，讲述文明传承的史诗。
6602297958,言灵Zz,Sun Jan 22 20:13:32 +0800 2023,周先生那条线我都是带入总理来看的，而且有一幕特别像《乔的笑》[爱你]
5296313044,禾小火AK,Sun Jan 22 20:16:45 +0800 2023,周先生点火那段，看完彩蛋回去看，个人看法是，周先生知道结果，这是一个预言，反复出现的摄像头角度看着周先生的是数字生命，也就是moss的人类预言[并不简单]
6789848140,叫我大神大人2号,Sun Jan 22 20:34:47 +0800 2023,还有马兆这个角色po没提，他和其他人最大的不同就是里面没有说他有什么私心，支持他拼死工作的就是一个宏大的信念，没有人的文明，毫无意义，死的时候要作为一个人完整地死去，我觉得这个角色值得再分析一下的
6379418207,载金满车相庆归,Sun Jan 22 20:19:37 +0800 2023,恕我直言，我觉得即使在西方鼎盛时期他们的作品中也很少有这种全人类共同体团结面对挑战的设定。即使是集全人类之力也必须是在美西的领导统治下是以上帝之名形事我感觉和小破球想传达的精神还是不太一样的。真正的人类命运共同体的理念只有有着千年大一统思想的中国人才能更好的表达
6320411757,随风之淡影,Sun Jan 22 19:51:14 +0800 2023,沙发！
6602297958,言灵Zz,Sun Jan 22 19:57:00 +0800 2023,都几个小时没更新了，生产队的牛都不敢这么歇啊，流浪地球3，赶紧的[怒]
5348153190,马克瑞级战列舰,Sun Jan 22 20:36:25 +0800 2023,确实，现在西方也拍不出来“五十岁以上，出列”的悲壮和史诗感了，更难能可贵得是，这不是只有几个相同国家相同群体的人，这是全世界的“五十岁以上”的人，而这块，甚至最自信的西方都未曾想过把它拍出来
3613118681,西柚波本酒,Sun Jan 22 19:57:23 +0800 2023,有没有看过的说下，我在纠结看巨幕还是imax
7550921433,年糕你是没吃过吗,Sun Jan 22 20:05:38 +0800 2023,印象最深刻的点是有很多次特别是最后那次，某些人一见颓势就抱怨就怨天尤人就恨不得马上拆家散伙“回家拥抱家人”......我的看法同马老师一致，想那么多..干不好那就“都得死”[兔子]
1722521610,麻雀DANCE,Sun Jan 22 19:57:03 +0800 2023,[傻眼]看你的介绍感觉这部片的思想非常唯物，历史唯物论
1567524292,pgz-09,Sun Jan 22 20:06:42 +0800 2023,流浪地球2 http://t.cn/A69Ol4ZY
1811576205,不是六加七,Sun Jan 22 20:19:32 +0800 2023,有人说周先生能坚定的喊出“点火”是因为他知道未来，否则就有点太突兀了，或许是吧，但我觉得，他可能真的不知道，他只是相信“我们的人能做到”，因为他姓周，因为他是中国人，请原谅我在看电影的时候总是把他当成他，那位总理
7772059258,拖延又自闭,Sun Jan 22 20:03:57 +0800 2023,刘德华故事线很浪漫呀啊，十几年坚持复活女儿的执念，最终终于实现执念，化作数字生命与女儿团聚，还作为数字生命完成了重启北京根服务器任务
7605696863,失眠大海,Sun Jan 22 19:54:50 +0800 2023,刘德华的故事线拿掉观影体验可能会好些，单独拍一集讨论数字生命。
2270072942,小M姐姐最爱我家DD,Sun Jan 22 20:23:14 +0800 2023,西方还在期待着一个（队）超级英雄来拯救世界，而我们，每个人都是英雄都是救世主都是普通人
1365283343,Shane_Xy,Sun Jan 22 20:27:10 +0800 2023,看电影前完全没想到的就是最让我破防哭的最惨的人不是刘培强图恒宇~居然是沙溢
1801688173,葡萄紫--Z,Mon Jan 23 06:20:05 +0800 2023,流浪地球2把好莱坞个人英雄主义电影，比的无比小家子气，比所有漫威电影都牛掰
2485254951,俊诗哥,Sun Jan 22 20:15:10 +0800 2023,球1MOOS（550W）说：“让人类永远保持理智，确实是一种奢求。” 球2则表明让全人类永远团结一致，互帮互助也是一种奢求，但可以让大部分人类永远团结，或者全人类某些时候空前团结，或许也就够了。 草蛇灰线，伏脉千里，所以会有3的。 票房大概率能破上一部的46亿，希望冲上60+也不是不可能。
5329397499,怕是一只高级动物,Sun Jan 22 20:36:06 +0800 2023,最后看得我眼泪哗哗的……什么他妈的，叫，他妈的，人类命运共同体！
6991590384,E11usionist,Sun Jan 22 20:04:58 +0800 2023,李雪健老师不是变声的嘶哑，李老师是手术后声音受损，除了那一句，其他的部分都是ai修复的，只有那一句因为导演觉得情绪大于实际内容，就没有修复保留了
